dt;xt_34;yt_34;zt_34;xt_avg_34;yt_avg_34;zt_avg_34;xxt_34;xpt_34;xp_34;wd_34;xp_avg_34;wd_avg_34;disSTL_34;disSTL_avg_34;disSTLz_34;disSTLz_avg_34;PCAsigma_34;PCAmu_34;PCAwt_34;vxt_34;vyt_34;vzt_34;vxt_avg_34;vyt_avg_34;vzt_avg_34;vavg_34;vv_34;vv_avg_34;vvt_34;vpvt_avg_34;axt_34;ayt_34;azt_34;aavg_34;axt_avg_34;ayt_avg_34;azt_avg_34;curvature_34;curveRadius_34;turnRate_34;vxp_34;vxp_avg_34;axp_34;axp_avg_34;thetaToR_34;psiToR_34;aa_34;xt_53;yt_53;zt_53;xt_avg_53;yt_avg_53;zt_avg_53;xxt_53;xpt_53;xp_53;wd_53;xp_avg_53;wd_avg_53;disSTL_53;disSTL_avg_53;disSTLz_53;disSTLz_avg_53;PCAsigma_53;PCAmu_53;PCAwt_53;vxt_53;vyt_53;vzt_53;vxt_avg_53;vyt_avg_53;vzt_avg_53;vavg_53;vv_53;vv_avg_53;vvt_53;vpvt_avg_53;axt_53;ayt_53;azt_53;aavg_53;axt_avg_53;ayt_avg_53;azt_avg_53;curvature_53;curveRadius_53;turnRate_53;vxp_53;vxp_avg_53;axp_53;axp_avg_53;thetaToR_53;psiToR_53;aa_53;xb__34-53;xb_avg__34-53;vxb__34-53;vxb_avg__34-53;axb__34-53;axb_avg__34-53;phi1to2__34-53;psi1to2__34-53;phi2to1__34-53;psi2to1__34-53;phiO1to2__34-53;phiO2to1__34-53;phi1to2__34-53;phi2to1__34-53;phiE1to2__34-53;phiE2to1__34-53;alpha1to2__34-53;alpha2to1__34-53;dphi1to2__34-53;dphi2to1__34-53;dpsi1to2__34-53;dpsi2to1__34-53;dphiO1to2__34-53;dphiO2to1__34-53;dphiE1to2__34-53;dphiE2to1__34-53;dalpha1to2__34-53;dalpha2to1__34-53;
486.370833333;-55.4863029411778;-320.33173701583854;14.141043081537376;-53.22591293937983;-319.56628342903946;13.91455052660262;0.0;0.0;171.8213798740852;18.550022414512643;170.08452770917128;18.016559884243005;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;-113.38812875980646;-278.3090021342154;20.41785211586013;-112.42957283225711;-274.84683110056494;20.674186440081005;0.0;0.0;129.9632206650348;31.756275066328875;126.62547880624696;31.83200059647753;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;71.81873022906598;75.01453306615093;;;;;;;;;;;;;;;;;;;;;;;;;;;
486.375;-57.072432167736935;-319.2576476983223;14.157764529937069;-55.26491066801458;-319.38754225134966;13.986469731891102;2.0480802030362297;2.0480802030362297;170.4847597945567;18.759094774263147;169.85936167242787;18.35343745844595;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-467.15554786014854;67.381532975678;20.327747762053242;-452.8030842909709;81.77195685030574;21.898616984320142;460.6482774269001;472.4275544586128;461.55832376640546;472.16237526039197;461.63075142675495;3547.64375019675;3805.133033880795;459.2261533468137;5115.376269553033;3539.53212442889;3668.903262680249;421.824096438834;0.020150287614089213;49.62708320355653;9.301992412757237;-79.6025639938705;-94.58247814146443;-3969.796505776867;-3823.297778288186;79.77495523905014;90.4918759366042;5222.614502694855;-110.80418189623455;-275.3372915028925;21.071637369522847;-111.00596647543534;-274.53096480662225;20.588394992862927;1.4607486940771843;1.4607486940771843;126.57052255620994;32.01948236385327;125.98691744312534;31.554884266004514;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];340.4782038234412;75.75897837339537;-20.657200000090622;339.7430822371192;75.8848896103743;-20.705251101719348;348.7299611767562;349.4160127911443;348.7303483479426;349.4206808103219;348.73487221752873;-187.18929446043217;4.442573224416897;-11.103436489301984;185.22113245768313;-184.0010395371632;17.86062911322852;-11.466616145559083;0.0005061952432112015;1975.5223175472765;0.17652793345837922;-147.12406426978626;-143.21841696176142;974.8559146386533;967.9872116977967;77.43168245264638;-89.24021235190375;187.5709325010692;69.74166799597849;71.94937979374956;-677.6970979494675;-643.0147289312965;9050.768153263121;8784.723360393127;30.4339909481387;84.11224775649389;53.09519866471912;94.11203879812116;37.254503537801554;41.99853177785328;30.4339909481387;53.09519866471912;-6.8205125896628545;11.09666688686584;110.20894618718884;130.52688111736552;;;;;;;;;;;
486.379166667;-58.252844772272184;-319.0790536777684;14.156379254745687;-57.24220682674774;-319.1402325507882;14.067065838590578;4.041707171599431;4.042411649849377;170.1094192087377;18.91034453508615;169.56259018349434;18.689762574313676;nan;nan;nan;nan;[2.11568977 0.64108725 0.12418131];[ -58.43926823 -319.27151073   14.23648602];[[-0.67278079  0.58643837  0.45106101] [ 0.07604585 -0.55162874  0.83061589] [ 0.73592325  0.59312374  0.32652902]];-452.3884845534483;82.93904698324339;22.158399085370213;-446.0229483458079;87.63270159465503;22.377288132450293;455.1007623197612;460.4619649016417;457.3781237353786;459.7650189695831;457.4493666458311;3540.413830293099;3662.7926969239334;419.6362448327834;5066.319526549406;3534.222333279164;3607.267137514204;405.57347380796915;0.02054656920838122;48.669925857601896;9.399015071118724;-95.82458388299652;-100.64389074275803;-3817.0737820311324;-3756.558482634156;78.89797323702767;90.55350203447198;5111.425927111466;-111.23174789416018;-279.09366615471214;20.09937507395378;-109.58567214098275;-274.21529600046046;20.50241845768691;2.9182378183195565;2.918237890010594;130.2879366664802;31.168706597207095;125.36541596223472;31.278023247782546;nan;nan;nan;nan;[2.63975657 2.71263369 0.46330943];[-109.77533759 -275.67909999   20.54737717];[[ 0.60696109  0.69011763  0.39412675] [-0.50218944 -0.05131596  0.86323371] [ 0.61595779 -0.72187557  0.31542299]];339.70546937845853;75.80884112731844;-20.704331473673367;339.4141459888613;76.03337078041515;-20.73049442413909;348.4433804345398;348.6767208468004;348.4449818005524;348.6810893450096;348.44941493512243;-183.74453707281896;19.351749755109807;-11.514918872069272;184.48455461139622;-182.7079504529441;22.760836342246236;-11.588790292832357;0.0005426810065973183;1842.703149443413;0.18909687924523888;-143.0778174517395;-141.39996308680256;967.3934571628373;965.2555856744293;77.3961592959641;-89.23643185442153;185.11925475033456;66.640187504797;69.04626254502064;-640.5666080030179;-628.422638325926;8772.522598880556;8664.705393137789;31.414854106090285;84.29114975490351;54.994129608624576;94.18145347507131;38.83874176590223;42.904466845178575;31.414854106090285;54.994129608624576;-7.4238876598119425;12.089662763446;110.31282734311796;132.39028890458866;30.97698815227364;486.49227867084187;61.30130534939956;13.657882749662834;534.2398706435769;-222.67905918363414;-503.2628824913033;709.171337854476;-405.2000803785599;469.95681171994414;
486.383333333;-59.79664448759104;-319.3588895913138;14.470986755420569;-59.15791310098742;-318.82685874367365;14.155635921589344;5.982766663535918;5.9855993226563955;170.1368613440364;19.429532626133724;169.1968960057365;19.024890972308615;nan;nan;nan;nan;[3.10748765 0.79691411 0.17571631];[ -60.03897922 -318.9023652    14.31665093];[[-0.61530063  0.5737827   0.54053543] [ 0.13108728 -0.60167994  0.78790696] [-0.7773167  -0.55565697 -0.29499843]];-437.6532059971723;97.90746384307094;23.825964493878672;-432.9532298939197;99.10262239788801;23.352034463040216;444.76414711089143;449.1034143489104;449.1211479986395;447.7979437837717;449.1901387285202;3532.3870699931;3522.366402966383;380.9449142386569;4972.485900664846;3524.1832890416617;3487.9589482432407;374.0194552694867;0.02132134744296624;46.90135098989219;9.577339015784984;-111.41401835260459;-112.51011787714707;-3666.1555044079723;-3627.438787995027;77.12524559839758;90.68856003924026;5002.993355650702;-106.81736685135668;-271.8687959582774;21.112308011632237;-108.16862780554804;-273.8995512798235;20.416249195765932;4.372587700827219;4.37258809504984;122.44914349132642;31.482894977113066;124.76083950502819;31.001397685216723;nan;nan;nan;nan;[2.91190636 3.322058   0.68057822];[-108.6986386  -275.97698004   20.30934825];[[-0.41000535 -0.728356   -0.54899284] [-0.78229201 -0.02865126  0.62225261] [ 0.46895076 -0.68459962  0.55803992]];338.9468218649925;75.91907796382466;-20.753118057704715;338.7748524300937;76.29403840425381;-20.77839127277391;347.8806152675742;347.9645763010558;347.88456725420536;347.96854422405835;347.8888232857676;-180.42756733244647;33.42213286434117;-11.897889504630779;183.45789247924859;-180.18315434809236;32.4167639958858;-11.831424856461796;0.0006155818282423766;1624.479401634098;0.21415403786334192;-139.06202796729283;-137.88261616251432;960.2363945105701;959.9131917582826;77.3314345926394;-89.22935083329898;183.88231506420234;67.15924711395374;66.30028237862095;-604.587279810266;-599.9537596043011;8498.210511487778;8432.33697316791;31.55534468579409;84.54268839146775;56.9838804014159;94.2408937871439;40.985046131829385;41.99496105026347;31.55534468579409;56.9838804014159;-9.429701446035295;14.988919351152433;108.68059028419168;134.3153149940553;27.493240822099516;504.4154650095158;63.94473745099862;12.524020689280654;569.6588569229561;-224.01355939123926;-542.1656161008566;728.429024400755;-428.6124322566262;486.38614980508817;
486.3875;-61.5881167859646;-318.33022565684536;14.256256482926247;-61.01215501017641;-318.44989201641147;14.251492656086816;7.873082329675806;7.880198352742735;168.84826889531837;19.436896071634852;168.7649305753305;19.358195174781915;nan;nan;nan;nan;[4.06560701 1.11805682 0.21741012];[ -61.60332828 -318.44155962   14.39560902];[[-0.5954588   0.58156339  0.55426785] [ 0.25095189 -0.52074718  0.81599358] [-0.76318541 -0.62498512 -0.16413906]];-422.95303235963866;112.29475873432446;25.334188062244888;-419.3933188795759;110.49790833647144;24.225661260312965;434.38165975448396;438.33913982918165;441.0382530808338;436.2464285838212;441.10488078447344;3523.5634692967515;3383.8541520081417;343.15216156443415;4876.980978041622;3512.8830992492212;3365.6462148670494;342.08383115854576;0.022140401577155237;45.166299107772886;9.766239198211428;-126.3783859282054;-124.26900136616852;-3517.0416729073836;-3494.7864057045463;75.26316433260737;90.84183870229269;4897.317822054399;-106.6352625407634;-273.7867441918109;20.035713295461846;-106.75477366431551;-273.58347180484094;20.329880063308615;5.82391356285866;5.823914865362813;124.2545939613558;30.420754469627934;124.1730585149524;30.72498872392651;nan;nan;nan;nan;[4.58889727 5.38862189 0.73259317];[-106.91853876 -274.4040394    20.273089  ];[[-0.56626842 -0.68924313 -0.45197786] [ 0.60255399  0.02797938 -0.79758751] [ 0.56237778 -0.72398968  0.39946236]];338.20172883451283;76.08619391032457;-20.803440953225472;338.11929039991935;76.6016459226696;-20.829107962026605;347.3129977946417;347.2784206453191;347.32003570499427;347.2818366724928;347.32410548140956;-177.2383852393147;46.65372255211099;-12.252348386986508;182.88815289594544;-177.68665464966247;41.59596356076153;-12.054254209783993;0.0006861767158895499;1457.3505291615934;0.23832571404850925;-135.07542333801484;-134.2393119428621;953.3847266818514;954.6675150114465;77.25836373804007;-89.22158203842396;183.68487981106438;63.614221701816966;63.706608642564674;-569.7427239254207;-571.3696198232217;8227.831891084781;8194.333250082265;31.672995674025664;84.80199396614805;59.048231930877904;94.29526916465173;43.290740687927986;41.04880801864998;31.672995674025664;59.048231930877904;-11.617745013902322;17.999423912227925;106.93616000663303;136.30659566891796;27.883084495836734;523.0262653003168;66.80930600843107;11.530061104518522;604.1920817154453;-215.69267092245076;-576.3089972196085;738.7189362227675;-445.3336714449969;503.87742163959285;
486.391666667;-63.5741318388049;-318.0335524657126;14.401810604229382;-62.80507190779212;-318.01177032549407;14.353964317593508;9.714416195063954;9.728711825568997;168.2736756605385;19.8380095762487;168.2693140012629;19.68906448597343;nan;nan;nan;nan;[4.76636569 1.39067374 0.2484173 ];[ -63.03118382 -317.99185449   14.4638181 ];[[ 0.58880392 -0.58064596 -0.56228126] [-0.2756425   0.50970572 -0.81499773] [ 0.75982311  0.63486247  0.14006602]];-408.29128380916546;126.10890683616775;26.686813865135118;-405.6641229015382;121.74820655357222;25.03260818180877;424.27896233594885;428.1558301042065;433.12348631948686;425.09590171949975;433.1877124343391;3513.9430282040535;3247.255944049212;306.2579868101152;4781.99030140866;3500.92253260092;3242.6441053339295;310.2126200475655;0.022981519180324254;43.51322435011847;9.955311721990553;-140.7252051353097;-135.85934828593489;-3369.73228752937;-3361.220052112803;73.32436498941166;91.01444495976111;4794.398891009361;-104.55337737253502;-272.31102497032504;20.481582238019598;-105.34405213100489;-273.2668132980283;20.243304411519254;7.272325569358401;7.272328893866346;122.49611283509907;30.566503913205008;123.6019487374474;30.44877851174575;nan;nan;nan;nan;[5.93497336 6.39150224 0.68560541];[-104.91898737 -272.49132513   20.32500071];[[-0.59151097 -0.67678576 -0.43826454] [ 0.5383319   0.07316376 -0.83955097] [ 0.60026122 -0.73253539  0.3210582 ]];337.46965783848947;76.30669399422877;-20.85518136127645;337.4595408954001;76.93230301989922;-20.880977805982702;346.7470781757415;346.6171087808098;346.7573393026949;346.6197661300441;346.76121876653036;-174.17699079342367;59.046518818419244;-12.578295519136459;182.74666521346555;-175.23045393049404;50.40089681320562;-12.26300380739031;0.0007548596847532935;1324.7495133175967;0.261756064282771;-131.11673108547416;-130.55241557662504;946.8384536766813;949.5291193415756;77.18119029926933;-89.21346228209046;184.34296575837402;61.699365541302384;61.26047897422345;-536.0165509026915;-542.9683353805701;7961.386737671571;7955.116177240533;31.784455025978044;85.07556120355892;61.18734260982471;94.34526062622115;45.7322032728497;40.12818138867151;31.784455025978044;61.18734260982471;-13.947748246871658;21.059161221153204;105.10882001538971;138.36853290909403;33.11408574569028;542.79987599294;68.63658734387333;10.653894373765551;641.5531935449493;-200.9746130545918;-608.4391077992591;743.7744890475318;-453.5143312618843;522.4388071140083;
486.395833333;-64.50238153469218;-317.9254503046638;14.632315815545994;-64.53681698134667;-317.51489839750053;14.462394781931058;11.508469234537676;11.533588518920913;168.0431596564133;20.186991235237215;167.7126350653305;20.01690499201169;nan;nan;nan;nan;[5.1245822  2.20874467 0.28158927];[ -64.1624104  -317.23166682   14.53385639];[[ 0.58256593 -0.57242496 -0.57701526] [-0.18206833 -0.78379113  0.59373612] [ 0.79212881  0.24083423  0.56083047]];-393.6712805140709;139.35788332776457;27.887585977215615;-391.7648857732481;132.7406973714653;25.7424420089437;414.442386567992;418.5396208231901;425.48121401753576;414.3319636125598;425.54299770456487;3503.5257467150063;3112.5717790895915;270.26238997569976;4687.6740767452575;3488.092410153414;3119.2768512940197;278.58842940961455;0.023843147084050317;41.940772183926256;10.146284284857627;-154.46199449942822;-147.15704551353556;-3224.227348273929;-3227.0247120312997;71.31969136643734;91.20565555176309;4694.234495348019;-107.46040490260866;-281.1323353840382;18.946969658627197;-103.93640783787153;-272.94934604428687;20.156516086597826;8.717928868460135;8.717936076517187;131.58776318393856;29.560977801693966;123.04739121994673;30.172750198722664;nan;nan;nan;nan;[6.20429775 5.88016527 0.74989715];[-103.66398547 -272.49605169   20.15204373];[[ 0.60488095  0.72561648  0.32802403] [ 0.52697326 -0.05592292 -0.84803998] [ 0.59700773 -0.68582312  0.41620719]];336.7500764283923;76.57708324294782;-20.908220482898454;336.7970619091923;77.29319631425832;-20.93419557342638;346.18598996990795;345.9795042141758;346.1997723116796;345.98113777746795;346.20345669584793;-171.24338399477344;70.600521663266;-12.875730901080631;182.94248821009023;-172.8429597301626;58.63650257787179;-12.450936898548237;0.0008199443629463888;1219.5949447186867;0.28386757275031477;-127.18467873123919;-126.82214714125907;940.5975754950599;944.5667541652549;77.0987900408675;-89.20491477180246;185.67313932646195;56.725138298874484;58.957199300326444;-503.39237129628765;-514.9609916141059;7698.875051248144;7715.367995807643;31.90535471149076;85.35873818288447;63.40678414170991;94.3913530071893;48.325674702218784;39.25136909429786;31.90535471149076;63.40678414170991;-16.420319990728025;24.155415047412056;103.2250460779281;140.50557418257742;40.206937087891305;562.0992896780255;73.82978623990094;9.875637334682946;664.0008273616714;-174.38111737410762;-623.7938902737801;736.4804070521332;-458.81762648584146;542.0723377823404;
486.4;-65.65014793128191;-317.0697677520672;14.7522366726283;-66.20755725238678;-316.9616477290967;14.5761435252322;13.25688204272323;13.297220604126625;167.0484638130075;20.44396939776425;167.0974512221405;20.34113956091395;nan;nan;nan;nan;[5.63917905 3.04327021 0.29928425];[ -65.33061714 -316.35989417   14.58962109];[[ 0.58606819 -0.57068129 -0.57519296] [-0.10894871 -0.7589414   0.64197985] [ 0.80290364  0.31357744  0.50696641]];-379.09634264267305;152.04966338827867;28.940248473152646;-377.7960077847644;143.33687722832377;26.335040618854535;404.9306338572942;409.47609835401585;418.2142687543459;403.9404091785923;418.27359181710955;3492.3116248296105;2979.801657129282;235.16537106118818;4594.791499731176;3474.3580708361364;2996.609251189711;247.54376845703658;0.024717630548981916;40.456952296391876;10.33873211093098;-167.59627254607156;-158.01429637754634;-3080.526855141061;-3093.318114194782;69.2691281810189;91.41347759426093;4596.82076575722;-104.58380328742564;-276.18391171695265;19.26683136715046;-102.53178763570627;-272.63085489090366;20.06950942973993;10.160823620439475;10.160837558064605;126.27466534422449;29.424878121066218;122.50927231187737;29.89688793711983;nan;nan;nan;nan;[6.60058883 5.50172506 0.8024058 ];[-102.41579848 -272.31696689   20.00105071];[[ 0.67870945  0.72754009  0.10019431] [-0.39560522  0.24724072  0.88451599] [ 0.61874873 -0.63996676  0.45562327]];336.04245215569097;76.8938666838923;-20.96243951913229;336.13696031549637;77.68318200571075;-20.98840372134697;345.63455548808224;345.3644745120774;345.65222478938153;345.3647601812612;345.6557100160296;-168.43756484336387;81.31573108665114;-13.144654532819024;183.3630791053899;-170.55802751180912;66.12789100756862;-12.612694445738327;0.0008798920434430817;1136.5030601787546;0.3041397090137736;-123.27799379687862;-123.07391088099082;934.6620921369872;939.8565968003684;77.01151472527837;-89.1959810322944;187.49998217414884;56.63801116185932;56.7921438369602;-471.8537956604184;-487.6580246355105;7440.2968318145;7477.189213375163;32.06040574052521;85.64753276475734;65.71067490976176;94.43404307933578;51.07847988571942;38.45339294655143;32.06040574052521;65.71067490976176;-19.018074145194205;27.257281963210332;101.32953392154411;142.72218963504014;45.26252313678201;582.4854077951711;79.49428378813437;9.176097244465819;687.2384935338671;-151.6650075362234;-641.9759703970851;734.1504153313945;-469.18648996378664;562.7345000601256;
486.404166667;-68.50695205982596;-316.58771244324424;14.591687946521247;-67.81747357649387;-316.3543565870355;14.694585623940778;14.961235597972534;15.021941344594177;166.2378894376161;20.653457175436962;166.42628859911068;20.66120784258616;nan;nan;nan;nan;[5.50698211 3.35754163 0.29816791];[ -66.6576352  -315.60272244   14.65295142];[[ 0.5861769  -0.57140645 -0.57436165] [-0.07153477 -0.74266211  0.66583464] [-0.80701884 -0.34921006 -0.4762068 ]];-364.569790363092;164.19222219703587;29.84854542762391;-364.3796051605421;153.8827718291141;27.00551679645464;396.46147613634207;400.95031305578823;410.8760158026131;393.907249936272;410.9329988722979;3480.3006625476946;2848.9455781665097;200.96693006611977;4506.935690738315;3461.7976375904536;2877.720150352619;217.14781389299424;0.025535832016086002;39.160658613749554;10.493516029069458;-180.1355578009176;-168.84469697111192;-2938.6308081288425;-2963.9393373594216;67.16115333663166;91.64774776484872;4502.151853954355;-96.79257534005654;-261.6135825750455;21.025531860429666;-101.13014059383552;-272.3111392475515;19.98227927713687;11.601105016603078;11.60112975831851;110.98079104229758;29.923141055777496;121.98748366465978;29.62117688141421;nan;nan;nan;nan;[6.3653019  5.28177276 0.81269404];[-101.00250713 -271.77162755   19.92574635];[[-0.65994881 -0.7383554  -0.13892037] [-0.44679522  0.23704123  0.86266186] [ 0.60402119 -0.63138163  0.48632874]];335.346252571846;77.25354934447799;-21.017719671019538;335.4969543803791;78.02870549305554;-21.039659470019956;345.09325196248994;344.7708870256733;345.1132937756214;344.76944305959125;345.1165891726724;-165.75953333915936;91.19214708870379;-13.385066414354721;184.24140041738164;-168.275060510186;73.92459042299994;-12.78876729176449;0.0009425447972491929;1060.9575299959106;0.32528784556908946;-119.39540380390808;-119.46809728748114;929.0320036023882;935.119322063601;76.93189877506914;-89.18761709903194;189.6612522008129;62.158070969305676;54.76075508956879;-441.3844345488845;-460.7368509571989;7185.652079367193;7246.185819048942;32.2404125205585;85.97398640155394;68.09094488905448;94.4736499849788;53.859014930265424;37.7981931161717;32.2404125205585;68.09094488905448;-21.618602409706924;30.29275177288278;99.40156585719015;145.02284366412363;41.681409661025945;605.3951543965414;83.06051708766967;8.558914741375187;731.4751693641571;-150.51577973315878;-689.7937597031311;755.9109341297002;-497.9178401707342;584.3507403357961;
486.408333333;-69.12560166609671;-316.04765033668997;14.663240170902768;-69.36676064330469;-315.69533000814715;14.81711175481345;16.6230521192314;16.710022829539497;165.63535181656337;20.797633428751674;165.70164199645862;20.976566268827206;nan;nan;nan;nan;[5.4889773  3.56974299 0.33877239];[ -68.01654345 -314.92553855   14.74398521];[[ 0.58516674 -0.57516025 -0.57163849] [-0.09630703  0.65065067 -0.75324542] [ 0.8051738   0.49582697  0.32534716]];-350.09494384404275;175.79353493286865;30.61622091527091;-350.77043961910556;164.20612711261558;27.58431935218436;388.28397876557864;392.9468025222878;403.7840067570804;384.2187356730446;403.838604066004;3467.492859869589;2720.003542204847;167.66706699142787;4419.733665963182;3448.386268649721;2758.213249982276;186.91572394696234;0.02635502727950858;37.94342496384038;10.6431774266782;-192.08736878913498;-179.42043806158017;-2798.5392072411455;-2833.6692574073186;64.98205307182215;91.90476818043823;4410.219750557449;-95.798517450303;-262.0220501801259;20.88029729172409;-99.73141800010218;-271.9900130862845;19.894820959974385;13.038863288633666;13.038904380055563;111.29000663606628;29.654550840281516;121.48192223170106;29.345603188293367;nan;nan;nan;nan;[6.30453002 5.21776684 0.76402193];[ -99.64271359 -271.38707269   19.80900087];[[-0.55895772 -0.7550505  -0.34273169] [-0.60176321  0.0850062   0.79413789] [ 0.5704799  -0.65013282  0.50187648]];334.6609452283462;77.65263625210561;-21.073942139599495;334.85309864217953;78.40490905194522;-21.09235135542266;344.55596747032786;344.19760489482655;344.57835675931705;344.19399517204886;344.5814576923504;-163.2092894822331;100.22976966915442;-13.596966545681166;185.29537939976524;-166.05181956207332;81.20088214426916;-12.945562406481452;0.0010016373284976472;998.3653479647139;0.34514565073279085;-115.53563627400213;-115.8134834462456;923.7073098914167;930.5376182904895;76.84692382748534;-89.17880510122247;192.01082365447914;60.57112932703046;52.8585438529286;-411.9678985167264;-434.1325154855395;6934.940793913172;7014.150676890306;32.43759343333396;86.30998512966238;70.56471997475022;94.51051055637345;56.80546733186883;37.1895178837421;32.43759343333396;70.56471997475022;-24.367873898534874;33.37520209100812;97.41964650515611;147.41164380223557;41.97009070463233;628.9441857312587;86.30555983438404;8.047592995419492;776.0456184124281;-142.68074134869568;-734.0755277077958;771.6249270799543;-519.7840369666412;606.8362681397781;
