

Insect numbers for this group are 46-47;
dt;xt_46;yt_46;zt_46;xt_avg_46;yt_avg_46;zt_avg_46;xxt_46;xpt_46;xp_46;wd_46;xp_avg_46;wd_avg_46;disSTL_46;disSTL_avg_46;disSTLz_46;disSTLz_avg_46;PCAsigma_46;PCAmu_46;PCAwt_46;vxt_46;vyt_46;vzt_46;vxt_avg_46;vyt_avg_46;vzt_avg_46;vavg_46;vv_46;vv_avg_46;vvt_46;vpvt_avg_46;axt_46;ayt_46;azt_46;aavg_46;axt_avg_46;ayt_avg_46;azt_avg_46;curvature_46;curveRadius_46;vxp_46;vxp_avg_46;axp_46;axp_avg_46;thetaToR_46;psiToR_46;aa_46;xt_47;yt_47;zt_47;xt_avg_47;yt_avg_47;zt_avg_47;xxt_47;xpt_47;xp_47;wd_47;xp_avg_47;wd_avg_47;disSTL_47;disSTL_avg_47;disSTLz_47;disSTLz_avg_47;PCAsigma_47;PCAmu_47;PCAwt_47;vxt_47;vyt_47;vzt_47;vxt_avg_47;vyt_avg_47;vzt_avg_47;vavg_47;vv_47;vv_avg_47;vvt_47;vpvt_avg_47;axt_47;ayt_47;azt_47;aavg_47;axt_avg_47;ayt_avg_47;azt_avg_47;curvature_47;curveRadius_47;vxp_47;vxp_avg_47;axp_47;axp_avg_47;thetaToR_47;psiToR_47;aa_47;xb__46-47;xb_avg__46-47;vxb__46-47;vxb_avg__46-47;axb__46-47;axb_avg__46-47;phi1to2__46-47;psi1to2__46-47;phi2to1__46-47;psi2to1__46-47;phiO1to2__46-47;phiO2to1__46-47;phi1to2__46-47;phi2to1__46-47;phiE1to2__46-47;phiE2to1__46-47;alpha1to2__46-47;alpha2to1__46-47;dphi1to2__46-47;dphi2to1__46-47;dpsi1to2__46-47;dpsi2to1__46-47;dphiO1to2__46-47;dphiO2to1__46-47;dphiE1to2__46-47;dphiE2to1__46-47;dalpha1to2__46-47;dalpha2to1__46-47;
444.2375;-158.48747174091125;-162.17404723991388;13.382101075245728;-158.6053191635563;-161.84462728573814;12.62185137975334;0.0;0.0;72.89019305614698;28.964754664624085;72.5433082061813;28.221739034046653;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;-101.13321444288903;-166.87225050810468;8.323270331649766;-102.6449452511097;-166.79735772252403;7.920626549771989;0.0;0.0;22.258344659224946;16.47477390869093;23.85879460165615;16.273458479179876;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;57.7682933160512;56.58512863183109;;;;;;;;;;;;;;;;;;;;;;;;;;;
444.241666667;-158.66806579641144;-162.66944839437963;12.826412123418052;-157.44045991071656;-160.52985023188893;12.752122326580572;1.7613932836939112;1.7613932836939112;73.153854787862;28.445195995063937;71.32424236424264;28.177759177953625;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];293.2343145437826;297.1982065484318;24.057943393836553;300.05468272628764;285.55936024754885;20.084305950870068;414.705124391405;418.2008152095204;415.3467823833949;417.90310709507594;415.3310365500596;2032.635518433601;-2915.4144550711862;-1099.9957553150944;3584.033908654206;1850.4652389288199;-2888.807652926738;-1037.2404746688017;0.020437818259651675;48.92890167118274;-301.31673084120337;-305.63972238617174;-1297.8437446312723;-1177.0512692485704;46.48186740341684;-92.63893723874504;3720.3816010386727;-101.36073195410161;-166.91678232709404;8.25807166021174;-102.63764430008997;-166.99491532163057;7.952857468408683;0.2003026234643476;0.2003026234643476;22.458092003988984;16.440757717416997;23.890184823870143;16.307424903650702;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];0.5108020632927252;-39.60603662014502;1.4709095827921865;-0.8577264379832682;-34.62052512359571;-1.8470608798158277;34.6803703609071;39.63663243143749;35.57759585372825;39.52496540785325;35.65191312196916;-241.85547133033333;1243.9700822753484;-945.8474255075148;1543.30103663538;-290.1234559844672;1234.592096125565;-879.4252817333322;0.8285435582425205;1.206937148990896;5.3129340370683575;4.5654445996694655;-302.4893006961526;-241.89769152157507;176.6335462908108;155.05326598742982;1581.3231759977937;57.64581591267232;55.71801395329966;-224.8883823328935;-232.93725640279771;-2470.6379964053294;-2218.976155646537;52.5197577569647;98.66675072902827;97.2078060231381;85.17742282246515;4.759056552901788;nan;52.5197577569647;97.2078060231381;47.76070120406291;nan;99.00162516038154;273.8413523139489;;;;;;;;;;;
444.245833333;-156.57699509462827;-159.58774682720565;12.831148084630371;-156.23686460100103;-159.26614098701074;12.862108655711186;3.5094005422955665;3.510021236620271;70.6626699989036;28.128264193969027;70.0803947142483;28.10934689883537;nan;nan;nan;nan;[2.04690818 2.46138958 0.25281734];[-156.4330713  -159.75295007   12.96727023];[[ 6.92616561e-01  6.92695646e-01 -2.01134387e-01] [-1.42635252e-01 -1.41811723e-01 -9.79563485e-01] [ 7.07062575e-01 -7.07150745e-01 -5.81669916e-04]];301.29909204584453;285.105936525788;19.613980856846453;301.9964441998195;280.2124396683845;18.639522936307323;412.39337466736276;415.2724962659455;413.8327593555599;414.6371979057706;413.8156194416333;1839.2546865119825;-2888.7937089665766;-1033.3805771947314;3525.275245386292;1772.0449092233546;-2875.2168153876846;-1010.2230743458967;0.02031387575692399;49.22743507767836;-306.4588777284816;-306.8169568316743;-1170.7742914483467;-1123.5302923391732;47.19709465942397;-92.40147015390984;3577.13045780336;-101.46140269667737;-166.3636505096663;8.26726041040338;-102.63357524519586;-167.17075942840816;7.9674052946653715;0.376492180483822;0.37679439762091926;22.143194527606376;16.454767854149644;23.915142362563472;16.323961715002167;nan;nan;nan;nan;[0.78016701 1.04661391 0.37059657];[-101.949073   -167.55528195    7.98112082];[[-0.57770199 -0.57263689 -0.58167637] [-0.55737271  0.79736231 -0.23140659] [-0.59631877 -0.19052649  0.77980997]];-0.6081417597333962;-34.439095661205094;-2.3222293801244445;-1.8379812422476978;-32.33187659019983;-2.954308128286408;32.518554017785384;34.52265771425312;35.48504330769795;34.14781188357133;35.56037974790371;-294.8164433406973;1235.9649546755734;-875.1702851976202;1525.6145179163902;-308.63395623385856;1227.9879762071282;-851.0524476361127;0.9732670940879687;1.0274671835454194;4.189709938274565;4.63182159149642;-237.05867329326284;-217.27599009097048;173.8577754249829;147.96463389138066;1542.870419880793;55.717775142175306;54.803216792337224;-234.62180929058871;-234.97505607183606;-2202.614568476581;-2111.79262531978;53.43305236919287;98.62355850961053;97.2192956877792;85.24138509840772;4.48672573449878;nan;53.43305236919287;97.2192956877792;48.94632663469409;nan;100.63014702861685;271.0770711127621;37.78720304903229;-698.7564145400262;-11.785103129747004;-101.07854116180006;-110.03779253758792;nan;147.82499558662067;nan;382.8641120250385;-2539.5991794389847;
444.25;-155.18737337044922;-158.2893416570235;12.675155812452871;-154.99797356176467;-158.05304586941816;12.952995455107608;5.24391917614971;5.246313603052738;69.1438898790553;27.77121588329968;68.8140116908213;28.018122674505822;nan;nan;nan;nan;[3.1583268  3.61748831 0.31157983];[-154.77166681 -157.89044274   13.11063829];[[ 0.62319622  0.61999841  0.47668485] [ 0.32483669  0.34924729 -0.87892403] [-0.7114124   0.70258686  0.01625136]];308.56807863097134;273.12560436403686;15.444152627616353;305.9982868793132;269.88209949872777;15.765105037441089;408.31340626993523;412.3716488310209;410.845019552005;411.29938347695617;410.8248787548794;1650.655878304461;-2861.684281842626;-968.4112875901643;3414.3995590011136;1619.6644644708824;-2849.1355884472528;-957.7253101388607;0.02003682752432673;49.90810041090083;-311.07641268812927;-309.2463862799788;-1046.0300193684088;-1019.765653314037;48.62626026603156;-91.95035427908738;3442.6330300306854;-102.8495972712376;-168.92324386154326;7.554341549597581;-102.63370141445347;-167.3250085391683;7.965529458947103;0.5296773351961584;0.531054965649873;25.036861064433246;15.9693960130931;23.934844875146055;16.324445789967523;nan;nan;nan;nan;[0.79650899 0.94201111 0.35967073];[-102.23123098 -167.71453068    7.88558283];[[ 5.72870891e-01  5.72883426e-01  5.86194099e-01] [ 7.07271214e-01 -7.06942244e-01 -3.06375917e-04] [-4.14229854e-01 -4.14773726e-01  8.10170589e-01]];-1.9424922946942182;-29.307967192378776;-5.824767864710476;-3.6424306201353587;-27.92543390547897;-5.184841206883066;28.63528833401834;29.94425049892318;34.943743710886466;29.074515426928052;35.02107921950334;-345.2506930590832;1226.7800870207964;-806.3591959086989;1493.313271747882;-344.9496314995132;1215.548680583928;-795.8867283963124;1.3553478048434278;0.7378179950758261;3.3341083715604247;4.662935257388729;-174.03048529780295;-169.20900943393423;167.21582613368653;144.2320408017836;1508.1122557008325;53.65207751635681;53.84551612774645;-243.25356728004803;-239.26919892865186;-1941.8368916516356;-1903.3452908776496;53.59892743459025;98.56488055424465;95.17366740021475;85.2832636653611;4.005081397489451;nan;53.59892743459025;95.17366740021475;49.5938460371008;nan;102.2251877006218;262.38949353390126;34.23017777390286;-1137.300985567558;-7.721738655621013;-459.93057517246535;-95.77435238225337;nan;130.0045301561559;nan;382.99533784422795;-3520.1992568902665;
444.254166667;-153.24545047302715;-156.04416620898644;13.121534035485851;-153.72714409911703;-156.89010271338012;13.025939238278868;6.964710524840513;6.970484448071393;67.00709695569375;27.92427920358314;67.52729936085719;27.905667608253864;nan;nan;nan;nan;[3.32122255 3.4625719  0.4004751 ];[-153.81615496 -157.17285665   12.97041831];[[-0.7067512  -0.70740106 -0.00929972] [ 0.07546364 -0.0623111  -0.99519976] [ 0.70342589 -0.70406041  0.09742151]];315.06119939797196;261.25924623409236;11.541600837330474;309.48803042799415;259.25105524819685;13.004210228578842;403.93447501936714;409.45471258587685;407.564193592431;407.86203371297245;407.5414403169738;1466.8390938110379;-2834.086173699336;-905.0878865013929;3305.7522215060444;1465.907095671778;-2821.4426966055016;-904.7514833492991;0.019778371488399907;50.56027997990148;-315.17902397474234;-311.30224070646426;-923.610928391459;-914.0831827837189;50.072735567554744;-91.54478326869656;3317.0537302518464;-102.94041864541217;-168.7004825335294;7.502660140193825;-102.63894226918242;-167.45780163182087;7.94845699493981;0.6610572795133243;0.665043551140601;24.955032812821987;15.926759736651286;23.950428310010285;16.310216430987804;nan;nan;nan;nan;[0.99806338 0.9716607  0.38239142];[-102.58241649 -167.90504662    7.78814373];[[ 0.57075386  0.57304047  0.58810258] [ 0.73045712 -0.68148231 -0.0448804 ] [ 0.37506322  0.45519938 -0.80754016]];-3.4817215320398396;-24.21756679722858;-9.044481083553286;-5.666464245020175;-23.410097509064983;-7.264668343264298;25.157839505045917;26.084776488895805;35.11346348765587;24.343842656080568;35.190086829372284;-393.15822048549063;1216.4154793110172;-739.4141576407512;1461.4611838453104;-380.1333662327597;1201.344198694291;-740.3644589164572;1.9130019240774179;0.5227386273969742;2.736119172728321;4.89807944673999;-113.40473670977315;-121.64875791665388;158.51741905083887;140.02904107484187;1476.8118706058503;52.17614698246167;52.84956514403998;-250.8138469308706;-242.82256369152103;-1688.3049659304925;-1693.7557154923295;53.74794572793452;98.52534931686273;91.3963255666176;84.39906392206015;3.5697441300197146;nan;53.74794572793452;91.3963255666176;50.17820159791481;nan;103.82068129548927;249.91374461745647;33.070519240608526;-1613.972432934568;-3.7722075602869354;-1174.2122119608334;-75.63271705476642;nan;108.70323629537462;nan;383.437272774822;-4581.883779905936;
444.258333333;-151.15266299112295;-153.78418422207972;13.457040507329225;-152.42765049792294;-155.77684086912018;13.0820679442806;8.67141403845456;8.682555119821494;64.78900582745732;27.947373565987903;66.22242342352402;27.773523428843273;nan;nan;nan;nan;[4.46999404 4.28099542 0.49557396];[-152.38630872 -156.00630709   12.96744843];[[-0.67074324 -0.68661015 -0.28048173] [-0.26014616 -0.13635017  0.95589362] [ 0.69456999 -0.71412543  0.08716304]];320.7983794456552;249.50889830686853;7.899467617173005;312.64945780983777;248.53759523421385;10.33271196478201;399.5339593202793;406.4833233699761;404.1314292593933;404.3006859470449;404.1063006505167;1287.8043330317123;-2805.9993845367057;-843.4103739284172;3201.5875184403094;1312.7391286539805;-2793.028678002427;-851.979707616079;0.019525036746377154;51.21629285463695;-318.7763998429164;-313.11955539053776;-803.5170185174977;-808.216502886704;51.53263659994828;-91.17776072328188;3200.5333313442775;-102.98381448402247;-168.49402395199826;7.474835633968098;-102.65017340399588;-167.56929816587356;7.917382539610313;0.7719649637536719;0.7813330058172215;24.84832329144411;15.901775949803335;23.96298690653109;16.282575366211837;nan;nan;nan;nan;[1.0805305  0.90767048 0.41284693];[-102.86080269 -167.98417496    7.68534494];[[ 0.5762934   0.56245557  0.59289936] [-0.59479781  0.7861918  -0.16768428] [ 0.56044758  0.2560199  -0.78762448]];-5.215301462220362;-19.17281005931702;-11.989144249240264;-7.797194168160929;-18.874163092293212;-9.23952873965135;22.414262438486112;23.206369701906773;35.6356984474939;20.00971521128825;35.71062742628585;-438.53902561992004;1204.8711315462365;-674.3351703937773;1431.1313668810478;-414.3043846724318;1186.2004705440277;-685.1403577320064;2.610909435925267;0.38300830593368135;2.3857321775806355;5.2474418596679255;-55.18142752917337;-74.83661422115456;147.35834053934866;134.93764785909718;1448.7093713561674;50.71887347454349;51.819891231440444;-257.33283887265577;-245.91586075742396;-1442.0187913131533;-1485.4152590072108;53.88417891603918;98.50053273211454;85.69615918716039;81.45050887226071;3.206961794304732;nan;53.88417891603918;85.69615918716039;50.67721712173445;nan;105.41681551598747;233.05449972650905;36.023939385419304;-2006.506866152363;0.9090474973416204;-2263.6617300577027;-50.58664053845194;nan;86.61057992387161;nan;384.4302066310508;-5418.024218973565;
444.2625;-150.08364818360712;-152.6841646473652;13.481076386307848;-151.10268402180208;-154.71278120281644;13.122480937715046;10.363560805778858;10.382376388760346;63.68744813503444;27.813945060608514;64.90150921026235;27.623192490512807;nan;nan;nan;nan;[5.80952187 5.32595326 0.51811146];[-150.63723561 -154.4867338    13.04946211];[[-0.63394127 -0.6492563  -0.42021984] [-0.34810004 -0.24566071  0.90469728] [ 0.69061192 -0.71980349  0.07027168]];325.7995438728295;237.8765967532791;4.5108950983281275;315.3369390994759;237.76119944269308;7.798931703415753;395.00455245068906;403.4240526359999;400.5037771150705;400.59388537226255;400.47661608370083;1113.5515959664835;-2777.4239143547343;-783.3787498712376;3102.6015580197745;1161.1516724007251;-2763.740489398847;-799.7510417405873;0.019291294047885894;51.836854361233925;-321.8782285472473;-314.5941362167619;-685.7482897465244;-702.6106519663068;52.99245851367053;-90.85288503493474;3093.1800824812804;-102.8894373630672;-167.7312810468987;7.818640077724481;-102.66822654680057;-167.65967808243263;7.873468333206318;0.8639226349804778;0.8834256245829488;24.167259849917162;16.21862815318066;23.9735731950659;16.24278674949621;nan;nan;nan;nan;[1.02023981 0.9572351  0.38194254];[-102.95689179 -167.7886105     7.67117202];[[-0.58556933 -0.52545102 -0.6172599 ] [-0.52440598  0.82621263 -0.20584232] [ 0.61814798  0.20315984 -0.75935443]];-7.132704075685881;-14.178612562206585;-14.66653257435878;-10.065814935896064;-14.332304800706664;-11.058346604240544;20.71286124231961;21.610546022143804;36.651040180867355;16.14513324083803;36.722703279409664;-481.3931084623709;1192.1470437264531;-611.1222341677766;1402.0796343082827;-446.884081215214;1169.8108138898235;-630.606516462453;3.213311517049078;0.31120543236914144;2.272937221919757;5.754094535708942;0.6394422439964025;-29.305901296849115;133.78482449276663;127.24142099928318;1423.525301438299;49.85752131688297;50.760895985880516;-262.8407337350024;-248.3519340211025;-1202.9783677996163;-1279.8535414525418;54.023533388272675;98.49391425386037;77.9465552921751;74.61396215572877;2.9394714878972343;nan;54.023533388272675;77.9465552921751;51.08406190037544;nan;107.01599190194321;211.73137978494174;35.80712828859918;-1981.7125881440593;3.2896150423722834;-3306.6121322787567;-20.17006560543116;nan;55.97719389403071;nan;385.2224202980184;-5448.98044656236;
444.266666667;-151.05918160440905;-154.8622988637594;12.748448584849655;-149.75535291312897;-153.69743609660145;13.148249008731032;12.040586421343537;12.069649571916207;64.75987318529299;27.24898642723841;63.56664168478525;27.456137772976085;nan;nan;nan;nan;[6.34005434 5.33546238 0.5203977 ];[-149.35398735 -153.72807649   12.97596818];[[ 0.67497111  0.69375886  0.25122231] [ 0.25675508  0.09835917 -0.96145843] [ 0.69173032 -0.71345926  0.11173651]];330.08461777830365;226.36437774423803;1.3690254119800254;317.4608570848495;227.0112759832445;5.443990267948866;390.3141711937008;400.2481238381556;396.67485637747603;396.72302475444826;396.6460580126276;944.0808826153527;-2748.359763153423;-724.9930143298535;3009.8700591566344;1012.8078939889656;-2733.693231905678;-748.6382682673158;0.01908790357253138;52.3892001130527;-324.49419834233083;-315.66124004375774;-570.3047420785389;-598.2773853613163;54.436022160325905;-90.57143873071675;2995.0600948007054;-103.24621014096897;-167.81617662041322;7.683109775233547;-102.69388955879671;-167.7291418042022;7.817844219256416;0.9387125905142556;0.976042258507442;24.505791290654614;16.1325159607301;23.983197996954644;16.1920771604053;nan;nan;nan;nan;[0.96401216 1.02174843 0.36096004];[-103.00968579 -167.6005836     7.65618284];[[ 0.60298048  0.48396063  0.63418975] [ 0.45684668 -0.86118639  0.22282082] [-0.65399209 -0.15537088  0.74037439]];-9.223401362886502;-9.239889889459771;-17.084421271496225;-12.466256499890243;-9.829439308322375;-12.684159298269618;20.32026883042959;21.501724304161986;38.164435519725245;12.846335121116894;38.2316241877943;-521.7204690128438;1178.2432158516683;-549.7753489627496;1374.239245154086;-477.2961579197105;1152.1073249068527;-577.382535631907;3.320037078332582;0.3012014554073079;2.387724141548062;6.431942567629337;54.05787260973628;14.302782249171521;118.92902926586451;116.20554111718968;1400.964759661918;49.794988165017855;49.676855209002824;-267.36772214750977;-250.02061082056554;-971.1836953898827;-1079.4370277859732;54.184378410917404;98.50810812792571;68.9752686359059;62.586661121797015;2.7854064564846825;nan;54.184378410917404;68.9752686359059;51.398971954432724;nan;108.62040057124331;187.9042979017704;33.41431640672338;-1665.7477902142487;5.475634928363752;-3788.972711591674;10.417464442182307;nan;22.99685196454038;nan;386.3478874965632;-4817.161745694951;
444.270833333;-149.88454541086412;-154.46031178913523;12.210848162342742;-148.38868239303326;-152.73030944856237;13.160414373023988;13.70184318387801;13.743946516885758;63.58252304931038;26.555501122703152;62.21986544307834;27.273782881421702;nan;nan;nan;nan;[6.32178495 4.98178272 0.52938454];[-148.06199273 -152.80337679   12.90803023];[[ 0.66788119  0.69646017  0.26244609] [ 0.29913669  0.07169556 -0.951513  ] [ 0.68150712 -0.71400489  0.16045268]];333.67352626088655;214.97427745065943;-1.5329993106870974;319.9893217572627;216.62406754053688;3.018472386220527;386.43015391144934;396.9311176762213;393.1150716766475;392.67218536309394;393.08431631867916;779.3921929783197;-2718.8069309327716;-668.2531673042656;2925.4832166861506;867.2013238431981;-2705.2825456613823;-698.4699443618342;0.018836817236360475;53.08752468382569;-326.63399748276277;-317.02582212322795;-457.1863755135419;-496.64013343620076;55.90425261374638;-90.30297598927667;2906.1874705145597;-104.37692137346293;-169.3275282569142;7.211104035668356;-102.72790643447807;-167.7779102354847;7.751607644570078;0.9984654119873391;1.0650523228095097;26.430812459489502;15.836243475547054;23.99283042451978;16.13163560421127;nan;nan;nan;nan;[0.83528769 1.02572242 0.32483526];[-103.1814179  -167.59526925    7.58615402];[[ 0.61673328  0.45123478  0.64500173] [ 0.4143136  -0.88278689  0.22143066] [ 0.66931629  0.13066933 -0.73139677]];-11.476865314272324;-4.361557624639115;-19.25058555323999;-14.655901397041243;-5.4670832722247855;-14.419247026024271;21.27437731316114;22.83257905926545;39.0402246711186;10.236125628573813;39.10560504006908;-559.5211072713383;1163.1596479218813;-490.29451477869605;1350.7718294128372;-508.2953630773514;1136.0303241902764;-525.0290101789639;2.8407882428240567;0.3520149741981084;2.7200827722679413;6.9307354019196366;105.07386356804605;57.84690703658042;104.8909256726404;104.18876093169028;1380.7218935245346;48.13497078384351;48.57191890816003;-270.94399473977717;-252.29062598150523;-746.6347740839524;-882.135557270653;54.32192612401073;98.52132771254678;61.432283724322964;47.05886105343086;2.7713876078521276;nan;54.32192612401073;61.432283724322964;51.5505385161586;nan;110.22617873775711;166.32320939696336;28.259998545934817;-1345.49068833065;9.419697930646313;-3583.1026052098828;36.67587535512516;nan;-8.41587680919018;nan;388.2983760156871;-4022.3435325152195;
444.275;-149.059560466388;-154.38519653725962;12.161092937098019;-147.00561466139965;-151.81089667274088;13.159990671835969;15.346611627627599;15.4047283755754;62.75709540495064;26.396500875191368;60.86318471339976;27.077512046513203;nan;nan;nan;nan;[6.29356107 4.51146837 0.52907547];[-146.56381501 -151.67709568   12.91711899];[[ 0.664731    0.69724846  0.26828581] [-0.31539795 -0.06362815  0.94682395] [ 0.67724208 -0.71400003  0.17761513]];336.58619441938674;203.70833204345695;-4.202036938489063;322.0680669071631;206.1527837055473;0.7201539012382089;382.39682081903413;393.45267559400963;389.3777736268789;388.427980687802;389.34540046118843;619.4855270553842;-2688.76541769278;-613.1592087944734;2846.762571491334;722.7552615699894;-2675.980222714279;-648.7000986271581;0.018611495740276145;53.73023286011094;-328.30731422313886;-318.06588281873707;-346.39319005153277;-395.0164733024385;57.37713525273856;-90.06906923796112;2826.5148159776522;-104.25782987932371;-168.6976514152111;7.089027026504212;-102.77097730163209;-167.80622476218088;7.675823659237678;1.0457653831901323;1.1567039701066968;25.957721899348513;15.690070534692985;24.00339788106627;16.062613511894057;nan;nan;nan;nan;[0.69214748 1.02749784 0.2872898 ];[-103.34746391 -167.59265348    7.51243391];[[ 0.63446961  0.406744    0.65727287] [-0.36206653  0.90767811 -0.21219866] [ 0.68290273  0.10334291 -0.72316257]];-13.88256792029345;0.4514686486929126;-21.17280063217744;-16.984855529744042;-1.0872961206242353;-16.00788582095346;23.364929674126653;25.322262983632545;40.39830590178722;8.464109593944269;40.460590122208046;-594.7950232378546;1146.8963399370923;-432.67973161561594;1328.456328069114;-537.8610890008506;1118.7384762966165;-473.2080791567469;2.108562138389767;0.4742568320816308;3.260002949881777;7.583109902350618;153.6874151189259;100.27930615722657;92.6672463035492;92.51130898845179;1362.4845262903282;47.305044982863066;47.45011129641483;-273.5997421414035;-253.93322557454348;-529.331603881824;-687.0089681350019;54.462831047639845;98.55373841899537;55.09403705079979;31.01188852522845;2.872218660169456;nan;54.462831047639845;55.09403705079979;51.59061238747039;nan;111.8399663003784;147.761283354349;25.42800515679633;-1019.3348709732163;13.534823916555318;-2865.4626117938715;57.28069240692147;nan;-31.852687250124763;nan;390.80046064024924;-3155.905194864148;
