dt;xt_44;yt_44;zt_44;xt_avg_44;yt_avg_44;zt_avg_44;xxt_44;xpt_44;xp_44;wd_44;xp_avg_44;wd_avg_44;disSTL_44;disSTL_avg_44;disSTLz_44;disSTLz_avg_44;PCAsigma_44;PCAmu_44;PCAwt_44;vxt_44;vyt_44;vzt_44;vxt_avg_44;vyt_avg_44;vzt_avg_44;vavg_44;vv_44;vv_avg_44;vvt_44;vpvt_avg_44;axt_44;ayt_44;azt_44;aavg_44;axt_avg_44;ayt_avg_44;azt_avg_44;curvature_44;curveRadius_44;turnRate_44;vxp_44;vxp_avg_44;axp_44;axp_avg_44;thetaToR_44;psiToR_44;aa_44;
350.366666667;-150.02128838941124;-198.9928783235339;6.138127953364872;-149.89705554342555;-199.08829953626906;6.1533029872627685;0.0;0.0;79.91647622913618;21.226023727029972;79.45189845751531;21.274412376397436;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];;;;;;;;;;;;;;;;;;;;;;;;;;;;;
350.370833333;-147.51845851426253;-194.42386161712926;7.699824401913048;-147.85982601038762;-194.34471889502447;7.631895103154062;5.370111368998625;5.370111368998625;75.07581383378457;22.375722948810452;76.23369024296429;22.250267118372978;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;-174.79757733852975;185.07146024144163;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-303.05302947619714;-466.20395724381314;-126.36466321087704;-6.17128846048103;125.58448189872932;57.28236022137389;138.16951793925452;570.2239003522128;473.54348835997183;nan;nan;-18264.45775195237;-12615.728526144478;-4287.948363617307;127428.09826155887;-51087.67706739815;-112004.67144726358;-32907.79622529111;3.0685917095534383;0.3258823899206606;nan;379.2647041653038;-70.29630843116382;63953.716286732524;67004.79784873768;24.644026091296425;173.24022803289617;22608.262303575586;
350.379166667;-149.51460104504582;-196.4914134878755;7.0831954852271934;-148.80187905416784;-195.54302819857966;7.3970260488905595;3.9134648911788688;6.912373537675903;77.94525360368155;22.058363431075435;76.2712116969143;22.29870707852261;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-316.2025741851578;-387.3156516507628;-104.39178106470463;-36.46040204496429;67.24145514792862;42.67016405263703;87.58719716927978;510.7789403341102;469.0501416471516;-280.9959374539068;271.20879837454737;9794.960601921006;43673.10997723487;12876.905212005202;98985.58514057743;-38060.00072889594;-87733.74643654512;-25541.576817944315;9.848348564824388;0.101539866650509;2670.9587802397205;553.8114177138955;-19.597012745231087;18800.462654432813;52325.30930464643;39.851423141959806;131.93846699467437;46573.5598394175;
350.383333333;-149.75025847563114;-196.16912014868166;7.208897594315417;-150.13259011844067;-197.40263044873933;6.891450045805886;1.8552137043253882;9.254278651097902;77.93855457058595;22.209104001677137;78.28044617193896;22.041005832323748;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-239.40932187461797;-159.0030843805368;-35.37400795912043;-55.36234464626405;28.927426423544034;34.54282244927466;71.37921116812225;289.5688600006576;470.7449389564323;47.29065964239562;283.9264990228335;24908.084817447037;59107.917078965125;18293.599296920846;78719.02335704451;-28250.28892812205;-70601.00190873208;-20349.553883261276;15.105007750163976;0.06620320999101402;4288.711968216825;527.3665299334855;9.707501605833336;-32522.252351276038;41325.68775233794;66.09232776181136;104.19040759773154;66699.43272564809;
350.3875;-150.84158934426057;-197.50778045039266;6.791429557807746;-151.31197995429255;-198.56312493222606;6.592434666351269;1.5718320790651088;10.935682239848752;79.63602277038741;21.959102210447117;80.60715184268032;21.873961672593623;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-126.61616478764282;48.50861372681538;31.73799156130803;-62.75233931167563;14.097607570725074;31.715071503620347;71.71083871204956;139.2553011542992;471.6001557756902;130.3774736707568;296.38057029375824;27074.914894625756;33688.69277904634;11962.133891129633;70182.71002470615;-24002.216108992812;-63394.389745564964;-18183.99727938288;13.647388516898271;0.073274091871994;4044.820791658797;274.2239517682255;20.941119402704246;-90014.42873039405;36368.83132721376;78.66240074644895;95.67408903072689;44844.97390947517;
350.391666667;-152.24303091387264;-199.85313910765973;6.377984694920869;-152.0776679329823;-198.75654624796874;6.59401973838966;2.2493025346783266;11.72542422211068;82.17701667560681;21.769077671856042;82.36030935140201;21.880624687495505;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-31.765995167296904;64.99431183124403;47.993552952013374;-73.74150638847179;-7.156436623135996;28.36507970425805;79.33222608884047;86.81428537022826;476.09819354431403;54.9896261488469;318.1229531723949;16295.450833457133;-32584.562922521553;-6117.491005368451;56995.224553646265;-17394.254638834704;-52209.40972517352;-14834.85974415987;8.71140955466356;0.11479198558224837;2771.299333823789;-231.32240583773216;37.308818219881104;-153676.0664829212;29001.087431577602;95.17560041688414;88.01268236975696;36942.10544782402;
350.395833333;-152.70686049885273;-199.92298696304084;6.559189854484956;-152.39203547678116;-198.4242003733957;6.786283987515157;2.6583110263204275;12.221656299300005;82.57270304325118;22.010770193162212;82.54179063596835;22.043322293332544;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-28.724160110555783;-189.58283942162555;-10.563869974910114;-80.75989462288317;-20.35740655599591;27.311924363357868;87.65001878844681;192.03730295458098;479.97791440385424;71.13120449002213;333.8915589456674;-21774.474860887523;-74776.28735599347;-17949.5101757606;47062.25626887391;-12126.497348886747;-43777.143865755395;-12303.076937155149;5.6862452261339005;0.1758629746399284;1898.589283101207;-472.8571668305691;47.41426569122065;166820.28927045746;22857.973929787826;103.43004021536215;85.5088379123195;79923.75004817569;
350.4;-152.8971265445257;-199.13965501749806;6.77820343683608;-152.4629786161124;-198.6227185378873;6.88138057700785;2.707549419251634;12.452926167602;82.24713496911487;22.241073146789315;80.6110687893332;22.25130537291718;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-271.0458261300374;-434.50656344346817;-67.9143499807213;-106.00329630823218;-66.34535611265298;16.478837606719676;126.13467879530296;516.5986376978466;473.40131761506797;nan;nan;-101479.02968323692;-27950.917851624403;-5538.158403234027;25337.27660782949;-2084.131888258342;-24406.86041275595;-6476.043928684764;1.3379181021166533;0.7474299050277816;nan;981.5519042483481;91.89416664923291;359664.4126638637;11481.507545526361;121.7347961643293;85.32544127942671;105403.59800641934;
350.404166667;-151.95852516320144;-196.1710970394118;7.315899497787072;-152.97218611808557;-199.9906498307536;6.699928047336973;3.2510710637367395;13.923794388277326;79.7349087915016;22.605753434700265;81.3918504711733;22.3848557976343;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];nan;nan;nan;nan;nan;nan;nan;nan;nan;628.2852572504679;352.54425025542434;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;
nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;[nan nan nan];[nan nan nan];[[nan nan nan] [nan nan nan] [nan nan nan]];-195.985509296376;-169.24553330014567;11.019695940403386;-111.41195840988547;-77.10054804447334;16.168868180837382;136.449812325754;259.18295486939246;475.53371171620387;nan;nan;330501.64281346963;60061.89008036784;14959.53609375167;18158.99516626708;2510.3555030990933;-17436.44242900183;-4406.551499378625;0.893495664271754;1.1191996111307967;nan;-197.05380936810548;98.66348197459206;-821576.049065769;6024.671361437728;124.40555264747137;85.31203699735667;336247.7572602808;
